subject_id,split
2ea4.pkl,train
2hpu.pkl,train
2z7d.pkl,train
37ir.pkl,train
45lx.pkl,train
4e8r.pkl,train
4woj.pkl,train
5f7t.pkl,train
6g6y.pkl,train
6k5f.pkl,train
71i5.pkl,train
7h5u.pkl,train
7m3c.pkl,train
8g4y.pkl,train
8i4i.pkl,train
9j3o.pkl,train
9t6n.pkl,train
9txq.pkl,train
a1k9.pkl,train
b2l8.pkl,train
b9w0.pkl,train
bfl5.pkl,train
c3m7.pkl,train
chdf.pkl,train
ctzy.pkl,train
cxj0.pkl,train
d4n6.pkl,train
dmbd.pkl,train
e5p4.pkl,train
f6q3.pkl,train
g7r2.pkl,train
g9j5.pkl,train
h7j3.pkl,train
h8r2.pkl,train
h8s1.pkl,train
hvpa.pkl,train
i9t9.pkl,train
iqyg.pkl,train
j1u8.pkl,train
j9h8.pkl,train
k2v7.pkl,train
k67g.pkl,train
kkf5.pkl,train
kycf.pkl,train
m8g5.pkl,train
p9i3.pkl,train
ql3b.pkl,train
qw5t.pkl,train
wssm.pkl,train
x1q3.pkl,train
y8c3.pkl,train
y9z6.pkl,train
qx2o.pkl,val
r0a3.pkl,val
r3zm.pkl,val
r5s8.pkl,val
t6v9.pkl,val
tmvd.pkl,val
u3v9.pkl,val
uymz.pkl,val
uyrl.pkl,val
v8mh.pkl,val
w2t5.pkl,val
wfsl.pkl,val
qx2o.pkl,test
r0a3.pkl,test
r3zm.pkl,test
r5s8.pkl,test
t6v9.pkl,test
tmvd.pkl,test
u3v9.pkl,test
uymz.pkl,test
uyrl.pkl,test
v8mh.pkl,test
w2t5.pkl,test
wfsl.pkl,test
