subject_id,split
P012,train
P013,train
P014,train
P016,train
P017,train
P018,train
P020,train
P021,train
P023,train
P026,train
P027,train
P031,train
P032,train
P035,train
P037,train
P038,train
P039,train
P040,train
P041,train
P042,train
P043,train
P044,train
P045,train
P046,train
P047,train
P048,train
P049,train
P050,train
P051,train
P052,train
P053,train
P056,train
P057,train
P058,train
P060,train
P061,train
P062,train
P001,val
P003,val
P004,val
P005,val
P006,val
P007,val
P008,val
P009,val
P011,val
P001,test
P003,test
P004,test
P005,test
P006,test
P007,test
P008,test
P009,test
P011,test
