best_f1,best_acc,best_loss,best_epoch,best_path
0.3642,0.5704,0.699897050857544,0,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_0.pt
0.385,0.4375,0.6996573805809021,1,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_1.pt
0.3828,0.6201,0.6774647235870361,17,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_2.pt
0.4893,0.6872,0.6992349028587341,1,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_3.pt
0.4788,0.6284,0.6982623338699341,1,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_4.pt
0.3622,0.5679,0.6833536028862,13,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_5.pt
0.4449,0.634,0.7014179229736328,0,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_6.pt
0.4013,0.6265,0.7006110548973083,0,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_7.pt
0.6161,0.6677,0.6938039064407349,3,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_8.pt
0.6291,0.6482,0.6949185729026794,3,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_9.pt
0.6186,0.6188,0.6969988942146301,1,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_10.pt
0.7026,0.7409,0.7008274793624878,0,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_11.pt
0.5086,0.5276,0.694720447063446,2,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_12.pt
0.6027,0.6598,0.698093056678772,0,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_13.pt
1.0,1.0,0.6855107545852661,10,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_14.pt
0.3652,0.4781,0.6971020698547363,2,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_15.pt
0.3508,0.3544,0.697878360748291,2,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_16.pt
0.4609,0.5909,0.6972013711929321,1,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_17.pt
0.5424,0.6001,0.6821724772453308,13,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_18.pt
0.3337,0.5008,0.6923854351043701,5,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_19.pt
0.5809,0.5836,0.698013424873352,1,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_20.pt
0.4548,0.6189,0.6981923580169678,1,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_21.pt
0.4372,0.7703,0.700056791305542,0,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_22.pt
0.8816,0.9445,0.6983170509338379,0,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_23.pt
0.4325,0.6755,0.6991177201271057,1,./save/BYOL/byol_WESADDataset_0/finetune/SWELLDataset/finetuned_best_24.pt
