best_f1,best_acc,best_loss,best_epoch,best_path,training_mode
0.4631,0.5863,0.08878985047340393,52,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt,random_init
0.4771,0.6755,0.3250694274902344,11,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt,random_init
0.6942,0.757,0.16643208265304565,26,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt,random_init
0.5137,0.7369,0.1787228286266327,27,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt,random_init
0.5637,0.6282,0.12103085219860077,37,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt,random_init
0.4154,0.7106,2.314502239227295,0,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt,random_init
0.9468,0.9537,0.2293047457933426,28,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt,random_init
0.9877,0.9897,0.40200164914131165,10,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt,random_init
0.7129,0.809,0.19178041815757751,29,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt,random_init
0.9688,0.9741,0.3195212483406067,13,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt,random_init
0.7891,0.8469,0.10402156412601471,58,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt,random_init
0.794,0.84,0.14340148866176605,31,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt,random_init
0.7254,0.7923,0.13728642463684082,31,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt,random_init
0.8442,0.8791,0.16654819250106812,31,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt,random_init
0.9914,0.9927,0.21070989966392517,23,./save/Random/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt,random_init
