best_f1,best_acc,best_loss,best_epoch,best_path
0.3632,0.5704,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_0.pt
0.1651,0.1977,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_1.pt
0.3828,0.6201,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_2.pt
0.3977,0.6602,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_3.pt
0.3822,0.6186,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_4.pt
0.3622,0.5679,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_5.pt
0.3827,0.62,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_6.pt
0.3828,0.6202,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_7.pt
0.4061,0.6839,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_8.pt
0.3891,0.6368,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_9.pt
0.382,0.618,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_10.pt
0.3949,0.6527,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_11.pt
0.3407,0.5168,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_12.pt
0.2894,0.4072,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_13.pt
1.0,1.0,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_14.pt
0.3472,0.5318,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_15.pt
0.3089,0.4469,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_16.pt
0.3629,0.5696,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_17.pt
0.4016,0.6712,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_18.pt
0.3337,0.5008,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_19.pt
0.3712,0.5902,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_20.pt
0.3786,0.6093,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_21.pt
0.4354,0.7713,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_22.pt
0.4693,0.8842,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_23.pt
0.4021,0.6724,,,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_24.pt
0.498,0.5075,0.6422540545463562,52,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_0.pt
0.4041,0.4158,0.6497769355773926,20,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_1.pt
0.6171,0.631,0.6174578666687012,98,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_2.pt
0.5282,0.6212,0.6457679867744446,15,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_3.pt
0.6041,0.6062,0.6306024789810181,92,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_4.pt
0.3622,0.5679,0.7024298310279846,0,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_5.pt
0.578,0.5905,0.6453723311424255,35,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_6.pt
0.7449,0.7517,0.6528765559196472,25,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_7.pt
0.6011,0.7126,0.6105507612228394,86,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_8.pt
0.4139,0.6389,0.629402756690979,96,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_9.pt
0.382,0.618,0.7208280563354492,0,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_10.pt
0.3972,0.6302,0.6420770883560181,29,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_11.pt
0.3407,0.5168,0.7074320316314697,0,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_12.pt
0.2964,0.4109,0.6404080390930176,67,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_13.pt
1.0,1.0,0.7106534242630005,0,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_14.pt
0.6746,0.6851,0.6646127104759216,12,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_15.pt
0.8723,0.8754,0.6642528176307678,12,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_16.pt
0.5086,0.596,0.6144510507583618,98,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_17.pt
0.4016,0.6712,0.7047449350357056,0,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_18.pt
0.6694,0.6926,0.667809247970581,19,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_19.pt
0.4042,0.5704,0.604379415512085,95,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_20.pt
0.4744,0.6329,0.6127793192863464,56,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_21.pt
0.7503,0.8255,0.6458727121353149,20,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_22.pt
0.6309,0.8327,0.6720630526542664,15,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_23.pt
0.722,0.7759,0.6240720748901367,44,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_24.pt
0.498,0.5075,0.6422540545463562,52,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_0.pt
0.4041,0.4158,0.6497769355773926,20,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_1.pt
0.6171,0.631,0.6174578666687012,98,./save/Random_Initialization/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_2.pt
