best_f1,best_acc,best_loss,best_epoch,best_path
0.4054,0.6819,0.3317519724369049,5,./save/Simsiam/simsiam_PsychioNet_0/finetune/WESADDataset/finetuned_best_0.pt,
0.634,0.6506,0.005515373311936855,42,./save/Simsiam/simsiam_PsychioNet_0/finetune/WESADDataset/finetuned_best_1.pt,
0.8896,0.9165,0.09690424799919128,12,./save/Simsiam/simsiam_PsychioNet_0/finetune/WESADDataset/finetuned_best_2.pt,
0.8745,0.9036,0.0465153232216835,15,./save/Simsiam/simsiam_PsychioNet_0/finetune/WESADDataset/finetuned_best_3.pt,
0.5796,0.6422,0.06039641797542572,16,./save/Simsiam/simsiam_PsychioNet_0/finetune/WESADDataset/finetuned_best_4.pt,
0.8025,0.8473,0.02484152838587761,36,./save/Simsiam/simsiam_PsychioNet_0/finetune/WESADDataset/finetuned_best_5.pt,
0.9972,0.9976,0.13894054293632507,55,./save/Simsiam/simsiam_PsychioNet_0/finetune/WESADDataset/finetuned_best_6.pt,
0.9769,0.9802,0.011881213635206223,28,./save/Simsiam/simsiam_PsychioNet_0/finetune/WESADDataset/finetuned_best_7.pt,
0.9747,0.9793,0.1375909149646759,17,./save/Simsiam/simsiam_PsychioNet_0/finetune/WESADDataset/finetuned_best_8.pt,
0.9962,0.9968,0.03231359273195267,29,./save/Simsiam/simsiam_PsychioNet_0/finetune/WESADDataset/finetuned_best_9.pt,
1.0,1.0,0.360302209854126,5,./save/Simsiam/simsiam_PsychioNet_0/finetune/WESADDataset/finetuned_best_10.pt,
0.9305,0.9451,0.26520776748657227,7,./save/Simsiam/simsiam_PsychioNet_0/finetune/WESADDataset/finetuned_best_11.pt,
0.9763,0.9804,0.01892874948680401,33,./save/Simsiam/simsiam_PsychioNet_0/finetune/WESADDataset/finetuned_best_12.pt,
0.9834,0.986,0.04300016909837723,52,./save/Simsiam/simsiam_PsychioNet_0/finetune/WESADDataset/finetuned_best_13.pt,
0.996,0.9966,0.29508522152900696,7,./save/Simsiam/simsiam_PsychioNet_0/finetune/WESADDataset/finetuned_best_14.pt,
