best_f1,best_acc,best_loss,best_epoch,best_path
0.7,0.7344,0.008623024448752403,30,./save/Simsiam/simsiam_SWELLDataset_0/finetune/WESADDataset/finetuned_best_0.pt,
0.6744,0.7551,0.0043260096572339535,42,./save/Simsiam/simsiam_SWELLDataset_0/finetune/WESADDataset/finetuned_best_1.pt,
0.5451,0.5526,0.27033084630966187,16,./save/Simsiam/simsiam_SWELLDataset_0/finetune/WESADDataset/finetuned_best_2.pt,
0.8224,0.8724,0.031581614166498184,33,./save/Simsiam/simsiam_SWELLDataset_0/finetune/WESADDataset/finetuned_best_3.pt,
0.6074,0.6336,0.0191392432898283,51,./save/Simsiam/simsiam_SWELLDataset_0/finetune/WESADDataset/finetuned_best_4.pt,
0.7857,0.8021,0.0021433262154459953,34,./save/Simsiam/simsiam_SWELLDataset_0/finetune/WESADDataset/finetuned_best_5.pt,
0.991,0.9922,0.0022354659158736467,49,./save/Simsiam/simsiam_SWELLDataset_0/finetune/WESADDataset/finetuned_best_6.pt,
0.9992,0.9993,0.01127064973115921,36,./save/Simsiam/simsiam_SWELLDataset_0/finetune/WESADDataset/finetuned_best_7.pt,
0.6856,0.801,0.021176913753151894,35,./save/Simsiam/simsiam_SWELLDataset_0/finetune/WESADDataset/finetuned_best_8.pt,
0.9995,0.9995,0.0640847235918045,26,./save/Simsiam/simsiam_SWELLDataset_0/finetune/WESADDataset/finetuned_best_9.pt,
1.0,1.0,0.011937088333070278,40,./save/Simsiam/simsiam_SWELLDataset_0/finetune/WESADDataset/finetuned_best_10.pt,
0.7862,0.829,0.05832739919424057,30,./save/Simsiam/simsiam_SWELLDataset_0/finetune/WESADDataset/finetuned_best_11.pt,
0.9767,0.9806,0.007360453251749277,34,./save/Simsiam/simsiam_SWELLDataset_0/finetune/WESADDataset/finetuned_best_12.pt,
0.9729,0.9775,0.03283824026584625,32,./save/Simsiam/simsiam_SWELLDataset_0/finetune/WESADDataset/finetuned_best_13.pt,
0.9979,0.9982,0.010575512424111366,48,./save/Simsiam/simsiam_SWELLDataset_0/finetune/WESADDataset/finetuned_best_14.pt,
