best_f1,best_acc,best_loss,best_epoch,best_path,training_mode
0.5316,0.5327,0.8068786859512329,1,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt,
0.4878,0.6527,1.1650395393371582,1,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt,
0.8133,0.8506,0.3591749966144562,8,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt,
0.8137,0.8649,0.5558446645736694,4,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt,
0.5316,0.5327,0.8068786859512329,1,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt,train_linear
0.4878,0.6527,1.1650395393371582,1,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt,train_linear
0.8133,0.8506,0.3591749966144562,8,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt,train_linear
0.8137,0.8649,0.5558446645736694,4,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt,train_linear
0.6201,0.6853,0.5283327102661133,4,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt,train_linear
0.4756,0.6938,0.7568930983543396,3,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt,train_linear
0.9741,0.9773,0.3092261552810669,15,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt,train_linear
0.9885,0.9902,0.45166265964508057,5,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt,train_linear
0.8929,0.912,0.5362633466720581,4,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt,train_linear
0.9917,0.9929,0.35036343336105347,9,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt,train_linear
0.904,0.9221,1.2479183673858643,1,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt,train_linear
0.6968,0.7168,0.3649272918701172,5,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt,train_linear
0.7355,0.786,0.15514272451400757,34,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt,train_linear
0.9549,0.9617,0.3681209087371826,7,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt,train_linear
0.9981,0.9984,0.4350438416004181,5,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt,train_linear

0.4526,0.4653,0.12111201137304306,11,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt,fine_tune
0.5028,0.7219,0.019945945590734482,20,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt,fine_tune
0.5848,0.7526,0.6309505701065063,1,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt,fine_tune
0.8678,0.9017,0.23486775159835815,26,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt,fine_tune
0.6336,0.6708,0.002744843252003193,43,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt,fine_tune
0.5539,0.7204,0.0007798455189913511,63,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt,fine_tune
0.9889,0.9904,0.0033018486574292183,42,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt,fine_tune
1.0,1.0,0.7168639898300171,1,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt,fine_tune
0.7229,0.8139,0.012234533205628395,31,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt,fine_tune
0.997,0.9975,0.30401813983917236,5,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt,fine_tune
0.9997,0.9998,0.06633628904819489,20,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt,fine_tune
0.9319,0.9458,0.02357451617717743,19,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt,fine_tune
0.8966,0.9126,0.011786133050918579,23,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt,fine_tune
0.9647,0.9706,0.6497049331665039,1,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt,fine_tune
0.9995,0.9995,0.44232192635536194,2,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt,fine_tune

0.5316,0.5327,0.8068786859512329,1,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt,train_linear
0.4878,0.6527,1.1650395393371582,1,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt,train_linear
0.8133,0.8506,0.3591749966144562,8,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt,train_linear
0.8137,0.8649,0.5558446645736694,4,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt,train_linear
0.6201,0.6853,0.5283327102661133,4,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt,train_linear
0.4756,0.6938,0.7568930983543396,3,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt,train_linear
0.9741,0.9773,0.3092261552810669,15,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt,train_linear
0.9885,0.9902,0.45166265964508057,5,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt,train_linear
0.8929,0.912,0.5362633466720581,4,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt,train_linear
0.9917,0.9929,0.35036343336105347,9,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt,train_linear
0.904,0.9221,1.2479183673858643,1,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt,train_linear
0.6968,0.7168,0.3649272918701172,5,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt,train_linear
0.7355,0.786,0.15514272451400757,34,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt,train_linear
0.9549,0.9617,0.3681209087371826,7,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt,train_linear
0.9981,0.9984,0.4350438416004181,5,./save/Simsiam_new/simsiam_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt,train_linear
