best_f1,best_acc,best_loss,best_epoch,best_path
0.6324,0.635,0.2050755202770233,8,./save/dual_branch_Aug_artifact_core/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt
0.7347,0.7678,0.020219395868480206,39,./save/dual_branch_Aug_artifact_core/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt
0.959,0.9664,0.03168477811850608,43,./save/dual_branch_Aug_artifact_core/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt
0.9924,0.9937,0.5915136337280273,1,./save/dual_branch_Aug_artifact_core/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt
0.7125,0.7561,0.006195684755221009,52,./save/dual_branch_Aug_artifact_core/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt
0.8782,0.9018,0.02810239642858505,26,./save/dual_branch_Aug_artifact_core/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt
0.9943,0.9951,0.02881348617374897,29,./save/dual_branch_Aug_artifact_core/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt
0.9919,0.9932,0.057618340756744144,39,./save/dual_branch_Aug_artifact_core/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt
0.9833,0.9859,0.2408999428153038,7,./save/dual_branch_Aug_artifact_core/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt
0.9995,0.9995,0.18351589888334274,9,./save/dual_branch_Aug_artifact_core/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt
1.0,1.0,0.6643083155155182,0,./save/dual_branch_Aug_artifact_core/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt
0.9661,0.9715,0.045302456989884374,18,./save/dual_branch_Aug_artifact_core/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt
0.9853,0.9878,0.048040563426911834,53,./save/dual_branch_Aug_artifact_core/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt
0.8872,0.9133,0.40010693967342376,4,./save/dual_branch_Aug_artifact_core/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt
1.0,1.0,0.5868183195590972,1,./save/dual_branch_Aug_artifact_core/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt
