best_f1,best_acc,best_loss,best_epoch,best_path
0.2413,0.3181,0.7151010036468506,0,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt
0.5783,0.6093,0.591263473033905,38,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt
0.2276,0.2946,0.7159573435783386,0,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt
0.9704,0.9752,0.6517134308815002,14,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt
0.2413,0.3181,0.7151010036468506,0,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt
0.5776,0.6084,0.5912656784057617,38,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt
0.2276,0.2946,0.7159573435783386,0,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt
0.9695,0.9745,0.6517126560211182,14,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt
0.4704,0.476,0.5413727760314941,96,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt
0.2245,0.2894,0.7131526470184326,0,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt
0.9307,0.9379,0.5445666313171387,70,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt
0.8164,0.8253,0.5776877403259277,47,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt
0.8874,0.9141,0.5748066306114197,50,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt
0.9314,0.939,0.538267970085144,97,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt
1.0,1.0,0.558456540107727,55,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt
0.8658,0.8764,0.5370564460754395,97,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt
0.7876,0.7976,0.5806218385696411,43,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt
0.9844,0.9869,0.5561566352844238,60,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt
0.9673,0.9716,0.5377535223960876,93,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt

0.5438,0.5456,0.3515107691287994,5,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt
0.6597,0.6748,0.01125363353639841,52,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt
0.951,0.9593,0.039575381018221376,21,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt
0.8888,0.9164,0.0542442562058568,40,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt
0.6091,0.6427,0.06272428836673498,20,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt
0.8135,0.825,0.28835815787315366,6,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt
0.984,0.9862,0.053302661329507825,24,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt
0.9997,0.9998,0.03736130595207214,39,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt
0.9864,0.9887,0.045889139920473096,30,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt
0.9759,0.9793,0.21293178647756578,8,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt
1.0,1.0,0.591374295949936,1,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt
0.9695,0.9745,0.03019259190186858,36,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt
0.9636,0.97,0.1917244926095009,9,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt
0.9765,0.9803,0.04254559576511383,24,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt
1.0,1.0,0.47288097739219664,3,./save/dual_branch_core_only/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt
