best_f1,best_acc,best_loss,best_epoch,best_path,training_mode

0.3632,0.5704,0.6841849684715271,0,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_0.pt,train_linear
0.1651,0.1977,0.6836082935333252,0,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_1.pt,train_linear
0.3828,0.6201,0.6843659281730652,0,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_2.pt,train_linear
0.3977,0.6602,0.6846821904182434,0,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_3.pt,train_linear
0.3822,0.6186,0.6844054460525513,0,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_4.pt,train_linear
0.5017,0.6056,0.052061159163713455,93,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_0.pt,fine_tune
0.7217,0.7302,0.00024051063519436866,69,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_0.pt,fine_tune
0.3632,0.5704,0.6842226982116699,0,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_0.pt,train_linear
0.4195,0.4286,0.0036413446068763733,49,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_1.pt,fine_tune
0.1651,0.1977,0.683584451675415,0,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_1.pt,train_linear
0.6561,0.7241,0.5925954580307007,6,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_2.pt,fine_tune
0.3828,0.6201,0.6842458844184875,0,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_2.pt,train_linear
0.7703,0.7842,0.5697044134140015,7,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_3.pt,fine_tune
0.3977,0.6602,0.684441864490509,0,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_3.pt,train_linear
0.6113,0.6171,0.11662156134843826,16,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_4.pt,fine_tune
0.3822,0.6186,0.6842336654663086,0,./save/dual_branch_flatten/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_4.pt,train_linear
