best_f1,best_acc,best_loss,best_epoch,best_path,training_mode
0.3641,0.5245,0.6478704810142517,78,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt,train_linear
0.7933,0.815,0.6615332961082458,49,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt,train_linear
0.7718,0.7853,0.6794390678405762,30,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt,train_linear
0.5726,0.6224,0.6840847134590149,24,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt,train_linear
0.4617,0.6363,0.6487705111503601,79,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt,train_linear
0.6235,0.6465,0.654205858707428,59,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt,train_linear
0.8901,0.9117,0.6692616939544678,42,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt,train_linear
0.5613,0.6099,0.6494931578636169,95,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt,train_linear
0.7316,0.7968,0.6842604279518127,25,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt,train_linear
0.747,0.8239,0.6595906615257263,51,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt,train_linear
0.9491,0.9584,0.6857848167419434,23,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt,train_linear
0.8653,0.8962,0.6790522336959839,28,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt,train_linear
0.7347,0.7457,0.6711714863777161,39,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt,train_linear
0.7806,0.7935,0.6804688572883606,28,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt,train_linear
0.8528,0.8838,0.6865441799163818,22,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt,train_linear

0.4937,0.5062,0.20802992582321167,70,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt,train_linear
0.4141,0.7069,0.6779926419258118,0,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt,train_linear
0.5821,0.756,0.33057481050491333,24,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt,train_linear
0.4612,0.7207,0.2423780858516693,55,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt,train_linear
0.5557,0.6549,0.21088933944702148,93,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt,train_linear
0.4534,0.7204,0.24641671776771545,92,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt,train_linear
0.9763,0.9795,0.30716556310653687,37,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt,train_linear
0.9754,0.9792,0.46988290548324585,9,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt,train_linear
0.7249,0.8198,0.2532051205635071,68,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt,train_linear
0.9952,0.9959,0.24828045070171356,54,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt,train_linear
0.6504,0.7893,0.23966430127620697,92,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt,train_linear
0.9384,0.9486,0.37550050020217896,19,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt,train_linear
0.7771,0.8319,0.2118699997663498,83,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt,train_linear
0.6664,0.7885,0.23140472173690796,97,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt,train_linear
0.9984,0.9986,0.4193263351917267,13,./save/dual_branch_flatten/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt,train_linear
