best_f1,best_acc,best_loss,best_epoch,best_path,training_mode
0.3693,0.5559,0.5549557209014893,83,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_0.pt,train_linear
0.1808,0.2092,0.5452415943145752,96,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_1.pt,train_linear
0.6053,0.6519,0.5414133071899414,85,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_2.pt,train_linear
0.4727,0.6797,0.5478445291519165,87,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_3.pt,train_linear
0.6196,0.6529,0.5446587204933167,83,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_4.pt,train_linear
0.3622,0.5679,0.6915971040725708,0,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_5.pt,train_linear
0.5711,0.627,0.5507321953773499,77,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_6.pt,train_linear
0.5091,0.6668,0.5411995053291321,97,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_7.pt,train_linear
0.5357,0.6938,0.5375891923904419,92,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_8.pt,train_linear
0.4785,0.6381,0.5566943883895874,99,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_9.pt,train_linear
0.382,0.618,0.691040575504303,0,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_10.pt,train_linear
0.462,0.6405,0.5416244864463806,83,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_11.pt,train_linear
0.3407,0.5168,0.6913729906082153,0,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_12.pt,train_linear
0.2894,0.4072,0.6909948587417603,0,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_13.pt,train_linear
1.0,1.0,0.691628634929657,0,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_14.pt,train_linear
0.6005,0.6418,0.5544850826263428,90,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_15.pt,train_linear
0.624,0.6272,0.5438364744186401,87,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_16.pt,train_linear
0.3922,0.5712,0.5329235196113586,85,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_17.pt,train_linear
0.4016,0.6712,0.6914272308349609,0,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_18.pt,train_linear
0.3346,0.5008,0.5442800521850586,72,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_19.pt,train_linear
0.3875,0.5841,0.5396913886070251,75,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_20.pt,train_linear
0.4128,0.6173,0.5441880226135254,81,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_21.pt,train_linear
0.594,0.7841,0.5392168760299683,92,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_22.pt,train_linear
0.4708,0.8898,0.6912002563476562,0,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_23.pt,train_linear
0.5378,0.7125,0.5386258959770203,95,./save/dual_branch_flatten_both/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_24.pt,train_linear
