best_f1,best_acc,best_loss,best_epoch,best_path
0.8425,0.8514,0.1305428445339203,23,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_0.pt
0.6673,0.6737,0.028113987296819687,66,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_1.pt
0.8305,0.8707,0.5402288436889648,3,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_2.pt
0.9734,0.9785,0.10473278164863586,27,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_3.pt
0.7298,0.7775,0.05655999481678009,36,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_4.pt
0.9288,0.9388,0.05456942692399025,38,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_5.pt
0.9787,0.9815,0.15431863069534302,21,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_6.pt
0.9219,0.9302,0.03885997459292412,47,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_7.pt
0.9637,0.9706,0.6735673546791077,0,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_8.pt
0.9962,0.9968,0.25375938415527344,15,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_9.pt
1.0,1.0,0.6082213521003723,1,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_10.pt
0.9883,0.9902,0.05304296314716339,40,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_11.pt
0.951,0.958,0.27690234780311584,14,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_12.pt
0.9416,0.9498,0.6132689714431763,1,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_13.pt
1.0,1.0,0.36735594272613525,10,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_14.pt
