best_f1,best_acc,best_loss,best_epoch,best_path
0.4973,0.5426,0.15440762042999268,49,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_0.pt
0.7109,0.8061,0.14882001280784607,42,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_1.pt
0.5241,0.5293,0.31458133459091187,24,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_2.pt
0.7918,0.8197,0.15743328630924225,41,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_3.pt
0.6999,0.7078,0.5492141842842102,9,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_4.pt
0.4193,0.5222,0.3859301805496216,21,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_5.pt
0.5566,0.6154,0.6385042667388916,2,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_6.pt
0.7771,0.7987,0.33352118730545044,22,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_7.pt
0.759,0.781,0.3635255694389343,22,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_8.pt
0.7481,0.7654,0.6466389298439026,2,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_9.pt
0.6788,0.7226,0.24680742621421814,30,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_10.pt
0.618,0.632,0.3120848536491394,22,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_11.pt
0.6566,0.6673,0.1289054900407791,42,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_12.pt
0.6141,0.6586,0.31676942110061646,40,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_13.pt
1.0,1.0,0.611173152923584,5,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_14.pt
0.7205,0.7205,0.2195698618888855,34,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_15.pt
0.7826,0.7846,0.5948145389556885,7,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_16.pt
0.3951,0.5692,0.6655686497688293,1,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_17.pt
0.5648,0.5918,0.17665275931358337,36,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_18.pt
0.6341,0.6628,0.4966752529144287,14,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_19.pt
0.9414,0.9432,0.5688245892524719,8,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_20.pt
0.7689,0.7801,0.17621812224388123,34,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_21.pt
0.6568,0.6928,0.6377129554748535,3,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_22.pt
0.6669,0.7981,0.3373120427131653,23,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_23.pt
0.8652,0.8882,0.18923598527908325,35,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset/finetune/SWELLDataset/finetuned_best_24.pt
