best_f1,best_acc,best_loss,best_epoch,best_path
0.8609,0.8672,0.3376980125904083,22,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_0.pt
0.6605,0.7143,0.4071223735809326,28,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_1.pt
0.7879,0.7893,0.3201714754104614,22,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_2.pt
0.5202,0.6952,0.37572965025901794,19,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_3.pt
0.7467,0.7612,0.3114359974861145,22,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_4.pt
0.4002,0.5833,0.22012200951576233,31,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_5.pt
0.6506,0.6576,0.44199907779693604,17,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_6.pt
0.8032,0.8134,0.6696411371231079,2,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_7.pt
0.7597,0.7896,0.39023444056510925,18,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_8.pt
0.7179,0.7192,0.518186092376709,11,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_9.pt
0.6252,0.6933,0.33731675148010254,22,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_10.pt
0.6115,0.6527,0.42940396070480347,16,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_11.pt
0.498,0.5247,0.6841511726379395,1,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_12.pt
0.7823,0.7902,0.06837768852710724,58,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_13.pt
1.0,1.0,0.6137897968292236,5,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_14.pt
0.6348,0.6392,0.5529893040657043,9,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_15.pt
0.4835,0.5175,0.27653324604034424,26,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_16.pt
0.5095,0.5893,0.6638869047164917,2,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_17.pt
0.6207,0.7222,0.35595786571502686,26,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_18.pt
0.4386,0.5489,0.46859490871429443,14,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_19.pt
0.8969,0.9005,0.32068634033203125,23,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_20.pt
0.7437,0.7634,0.1440950334072113,42,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_21.pt
0.6917,0.8079,0.6785066723823547,1,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_22.pt
0.7463,0.9171,0.592327356338501,7,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_23.pt
0.866,0.8824,0.19581593573093414,33,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/SWELLDataset/finetuned_best_24.pt
