best_f1,best_acc,best_loss,best_epoch,best_path
0.5966,0.6259,0.4605215787887573,6,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_0.pt
0.6993,0.7198,0.09353239834308624,28,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_1.pt
0.9303,0.9388,0.1265314519405365,25,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_2.pt
0.5288,0.742,0.03916504234075546,43,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_3.pt
0.7383,0.7577,0.027934234589338303,55,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_4.pt
0.6963,0.7904,0.06478642672300339,35,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_5.pt
0.99,0.9913,0.10183994472026825,27,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_6.pt
1.0,1.0,0.1910085380077362,19,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_7.pt
0.8422,0.8852,0.12065992504358292,25,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_8.pt
1.0,1.0,0.19966253638267517,18,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_9.pt
1.0,1.0,0.15244346857070923,22,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_10.pt
0.9252,0.9347,0.04561851918697357,41,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_11.pt
0.9479,0.9587,0.07049845159053802,33,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_12.pt
0.9162,0.927,0.06403449177742004,32,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_13.pt
1.0,1.0,0.13374683260917664,24,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_14.pt
0.5617,0.6268,0.013054019771516323,30,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_0.pt
0.701,0.7053,0.028631314635276794,16,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_1.pt
0.7245,0.8205,0.05442842096090317,7,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_2.pt
0.7195,0.8191,0.005844977684319019,58,./save/dual_branch_no_scale/moe_dual_branch_SWELLDataset_1/finetune/WESADDataset/finetuned_best_3.pt
