best_f1,best_acc,best_loss,best_epoch,best_path
0.7832,0.7894,0.0743826644288169,15,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/WESADDataset/finetuned_best_0.pt
0.7099,0.7703,0.1259561214182112,12,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/WESADDataset/finetuned_best_1.pt
0.9441,0.9542,0.04265674658947521,22,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/WESADDataset/finetuned_best_2.pt
0.9927,0.9939,0.3204709490140279,6,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/WESADDataset/finetuned_best_3.pt
0.7764,0.806,0.19108078877131143,9,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/WESADDataset/finetuned_best_4.pt
0.9013,0.9175,0.4207213785913255,4,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/WESADDataset/finetuned_best_5.pt
0.9825,0.9846,0.4846032891008589,3,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/WESADDataset/finetuned_best_6.pt
0.9759,0.9797,0.09807623508903715,14,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/WESADDataset/finetuned_best_7.pt
0.9417,0.9537,0.044107888721757464,19,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/WESADDataset/finetuned_best_8.pt
1.0,1.0,0.20214521884918213,9,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/WESADDataset/finetuned_best_9.pt
1.0,1.0,0.5904665721787347,1,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/WESADDataset/finetuned_best_10.pt
0.9738,0.9779,0.4721813433700138,3,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/WESADDataset/finetuned_best_11.pt
0.9672,0.9723,0.052032433450222015,20,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/WESADDataset/finetuned_best_12.pt
0.9796,0.983,0.05305608113606771,65,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/WESADDataset/finetuned_best_13.pt
1.0,1.0,0.48360320925712585,3,./save/dual_branch_no_scale/moe_dual_branch_WESADDataset/finetune/WESADDataset/finetuned_best_14.pt
