best_f1,best_acc,best_loss,best_epoch,best_path
0.4168,0.4337,0.5521312952041626,50,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_0.pt
0.4512,0.5581,0.45928335189819336,99,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_1.pt
0.6363,0.768,0.5827158689498901,35,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_2.pt
0.503,0.508,0.1417175680398941,31,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_0.pt
0.7215,0.7546,0.20250274240970612,22,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_1.pt
0.7109,0.714,0.2031882256269455,47,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_0.pt
0.622,0.6651,0.34470003843307495,25,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_1.pt
0.4563,0.716,0.30917882919311523,30,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_2.pt
0.7662,0.8427,0.13110102713108063,65,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_3.pt
0.6448,0.6931,0.16379107534885406,61,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_4.pt
0.7519,0.8339,0.24428266286849976,40,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_5.pt
0.9595,0.966,0.19097983837127686,48,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_6.pt
1.0,1.0,0.387449711561203,20,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_7.pt
0.9622,0.9694,0.13593241572380066,64,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_8.pt
1.0,1.0,0.3567740023136139,24,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_9.pt
0.9487,0.9595,0.25176215171813965,39,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_10.pt
0.9872,0.9893,0.13603541254997253,66,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_11.pt
0.9652,0.9712,0.21955794095993042,44,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_12.pt
0.9005,0.9211,0.30073484778404236,30,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_13.pt
1.0,1.0,0.35961538553237915,23,./save/dual_subject_two_encoder/moe_dual_branch_SWELLDataset/finetune/WESADDataset/finetuned_best_14.pt
