best_path,best_loss,best_epoch,best_f1,best_acc
./save/loso_5fold/contrastive_WESADDataset/finetune/finetuned_best_0.pt,5.920752300880849e-06,20,0.8486,0.8627
best_path,best_loss,best_epoch,best_f1,best_acc
./save/loso_5fold/contrastive_WESADDataset/finetune/finetuned_best_0.pt,5.920752300880849e-06,20,0.8486,0.8627
./save/loso_5fold/contrastive_WESADDataset/finetune/finetuned_best_1.pt,0.0003819940611720085,4,0.7723,0.7843
./save/loso_5fold/contrastive_WESADDataset/finetune/finetuned_best_1.pt,0.0003819940611720085,4,0.7723,0.7843
./save/loso_5fold/contrastive_WESADDataset/finetune/finetuned_best_2.pt,0.001184027991257608,24,0.8965,0.9116
./save/loso_5fold/contrastive_WESADDataset/finetune/finetuned_best_2.pt,0.001184027991257608,24,0.8965,0.9116
./save/loso_5fold/contrastive_WESADDataset/finetune/finetuned_best_3.pt,0.0019248086027801037,1,0.6656,0.7944
./save/loso_5fold/contrastive_WESADDataset/finetune/finetuned_best_3.pt,0.0019248086027801037,1,0.6656,0.7944
./save/loso_5fold/contrastive_WESADDataset/finetune/finetuned_best_4.pt,0.0012015844695270061,7,0.7877,0.8408
./save/loso_5fold/contrastive_WESADDataset/finetune/finetuned_best_4.pt,0.0012015844695270061,7,0.7877,0.8408
