best_path,best_loss,best_epoch,best_f1,best_acc
./save/loso_5fold/subject_specific_WESADDataset/finetune/finetuned_best_0.pt,0.000781016715336591,3,0.9613,0.9663
./save/loso_5fold/subject_specific_WESADDataset/finetune/finetuned_best_0.pt,0.000781016715336591,3,0.9613,0.9663
./save/loso_5fold/subject_specific_WESADDataset/finetune/finetuned_best_1.pt,0.0005880874814465642,4,0.775,0.786
./save/loso_5fold/subject_specific_WESADDataset/finetune/finetuned_best_1.pt,0.0005880874814465642,4,0.775,0.786
./save/loso_5fold/subject_specific_WESADDataset/finetune/finetuned_best_2.pt,0.001960618421435356,11,0.8466,0.873
./save/loso_5fold/subject_specific_WESADDataset/finetune/finetuned_best_2.pt,0.001960618421435356,11,0.8466,0.873
./save/loso_5fold/subject_specific_WESADDataset/finetune/finetuned_best_3.pt,2.1796655346406624e-05,33,0.6669,0.795
./save/loso_5fold/subject_specific_WESADDataset/finetune/finetuned_best_3.pt,2.1796655346406624e-05,33,0.6669,0.795
./save/loso_5fold/subject_specific_WESADDataset/finetune/finetuned_best_4.pt,5.202888132771477e-05,9,0.7936,0.8488
./save/loso_5fold/subject_specific_WESADDataset/finetune/finetuned_best_4.pt,5.202888132771477e-05,9,0.7936,0.8488
