best_f1,best_acc,best_loss,best_epoch,best_path
0.4054,0.6819,0.6728225350379944,2,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_0.pt
0.8449,0.8605,0.2534940838813782,38,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_0.pt
0.5923,0.6315,0.4202004373073578,15,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_1.pt
0.7299,0.8138,0.4779704511165619,9,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_2.pt
0.9793,0.9829,0.5176005363464355,6,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_3.pt
0.6664,0.7112,0.31733110547065735,27,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_4.pt
0.5886,0.5887,0.43712812662124634,13,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_5.pt
0.9754,0.9789,0.44114047288894653,13,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_6.pt
0.8272,0.8365,0.40922725200653076,16,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_7.pt
0.9758,0.9802,0.5452356338500977,4,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_8.pt
0.9965,0.997,0.45593515038490295,11,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_9.pt
0.9808,0.9845,0.5200988054275513,6,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_10.pt
0.9695,0.974,0.4994797706604004,7,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_11.pt
0.9343,0.9433,0.47139060497283936,10,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_12.pt
0.9291,0.9383,0.614964485168457,1,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_13.pt
1.0,1.0,0.47300222516059875,10,./save/moe_dual_branch_concat/moe_dual_branch_PsychioNet/finetune/WESADDataset/finetuned_best_14.pt
