best_f1,best_acc,best_loss,best_epoch,best_path
0.4054,0.6819,0.6488437056541443,1,./save/moe_two_encoder/moe_dual_n_pretrain_SWELLDataset/finetune/WESADDataset/finetuned_best_0.pt
0.4141,0.7069,0.6105598211288452,2,./save/moe_two_encoder/moe_dual_n_pretrain_SWELLDataset/finetune/WESADDataset/finetuned_best_1.pt
0.4972,0.7238,0.2363574057817459,36,./save/moe_two_encoder/moe_dual_n_pretrain_SWELLDataset/finetune/WESADDataset/finetuned_best_2.pt
0.4143,0.7074,0.6173055171966553,2,./save/moe_two_encoder/moe_dual_n_pretrain_SWELLDataset/finetune/WESADDataset/finetuned_best_3.pt
0.5711,0.6091,0.138325035572052,62,./save/moe_two_encoder/moe_dual_n_pretrain_SWELLDataset/finetune/WESADDataset/finetuned_best_4.pt
0.4154,0.7106,0.6462844610214233,1,./save/moe_two_encoder/moe_dual_n_pretrain_SWELLDataset/finetune/WESADDataset/finetuned_best_5.pt
0.946,0.9544,0.15928955376148224,55,./save/moe_two_encoder/moe_dual_n_pretrain_SWELLDataset/finetune/WESADDataset/finetuned_best_6.pt
1.0,1.0,0.41131603717803955,21,./save/moe_two_encoder/moe_dual_n_pretrain_SWELLDataset/finetune/WESADDataset/finetuned_best_7.pt
0.9306,0.9454,0.22515416145324707,43,./save/moe_two_encoder/moe_dual_n_pretrain_SWELLDataset/finetune/WESADDataset/finetuned_best_8.pt
0.4108,0.6972,0.6443554759025574,1,./save/moe_two_encoder/moe_dual_n_pretrain_SWELLDataset/finetune/WESADDataset/finetuned_best_9.pt
0.4151,0.7097,0.571936845779419,4,./save/moe_two_encoder/moe_dual_n_pretrain_SWELLDataset/finetune/WESADDataset/finetuned_best_10.pt
0.4125,0.7023,0.6463261842727661,1,./save/moe_two_encoder/moe_dual_n_pretrain_SWELLDataset/finetune/WESADDataset/finetuned_best_11.pt
0.9573,0.9645,0.28763633966445923,31,./save/moe_two_encoder/moe_dual_n_pretrain_SWELLDataset/finetune/WESADDataset/finetuned_best_12.pt
0.9254,0.9397,0.36743834614753723,26,./save/moe_two_encoder/moe_dual_n_pretrain_SWELLDataset/finetune/WESADDataset/finetuned_best_13.pt
1.0,1.0,0.35405653715133667,28,./save/moe_two_encoder/moe_dual_n_pretrain_SWELLDataset/finetune/WESADDataset/finetuned_best_14.pt
