best_f1,best_acc,best_loss,best_epoch,best_path,training_mode
0.5889,0.5944,0.45862799882888794,18,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_0.pt,supervised
0.5348,0.602,0.10980162024497986,54,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_1.pt,supervised
0.5597,0.5704,0.017638398334383965,44,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_2.pt,supervised
0.5767,0.6495,0.0032918218057602644,88,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_3.pt,supervised
0.5521,0.5738,0.40544217824935913,21,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_4.pt,supervised
0.5759,0.61,0.6915481686592102,11,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_5.pt,supervised
0.525,0.5921,0.30862554907798767,27,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_6.pt,supervised
0.6477,0.6854,0.022662047296762466,52,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_7.pt,supervised
0.6056,0.657,0.004528493620455265,85,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_8.pt,supervised
0.6101,0.6499,0.01906852424144745,87,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_9.pt,supervised
0.5367,0.5946,0.5544252395629883,36,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_10.pt,supervised
0.4673,0.5918,0.007443882059305906,64,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_11.pt,supervised
0.5154,0.5197,0.28797316551208496,81,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_12.pt,supervised
0.4659,0.4711,0.20113174617290497,95,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_13.pt,supervised
1.0,1.0,1.2796550989151,3,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_14.pt,supervised
0.6925,0.694,0.13896223902702332,37,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_15.pt,supervised
0.7236,0.7289,0.0757119357585907,42,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_16.pt,supervised
0.5766,0.5788,0.05076305940747261,40,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_17.pt,supervised
0.4628,0.5617,0.728840708732605,9,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_18.pt,supervised
0.6501,0.6691,1.6327931880950928,2,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_19.pt,supervised
0.5732,0.5832,0.5812135338783264,10,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_20.pt,supervised
0.574,0.6457,0.004548046737909317,92,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_21.pt,supervised
0.598,0.7646,0.00469721294939518,82,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_22.pt,supervised
0.7102,0.8166,1.8992109298706055,0,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_23.pt,supervised
0.6736,0.7252,0.0050531430169939995,73,./save/supervised_learning/moe_dual_branch_SWELLDataset_0/finetune/SWELLDataset/finetuned_best_24.pt,supervised
