best_f1,best_acc,best_loss,best_epoch,best_path,training_mode
0.5364,0.5396,0.01740034855902195,55,./save/supervised_learning/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt,supervised
0.4141,0.7069,0.6055507659912109,0,./save/supervised_learning/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt,supervised
0.6309,0.7461,0.048290736973285675,29,./save/supervised_learning/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt,supervised
0.446,0.7163,0.014726437628269196,48,./save/supervised_learning/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt,supervised
0.5808,0.6386,0.009350942447781563,67,./save/supervised_learning/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt,supervised
0.4154,0.7106,0.6116809248924255,0,./save/supervised_learning/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt,supervised
0.979,0.9818,0.016627388074994087,57,./save/supervised_learning/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt,supervised
0.9992,0.9993,0.19247934222221375,12,./save/supervised_learning/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt,supervised
0.7454,0.8302,0.01722460612654686,58,./save/supervised_learning/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt,supervised
0.9973,0.9977,0.15325739979743958,14,./save/supervised_learning/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt,supervised
0.9097,0.9312,0.011116908863186836,65,./save/supervised_learning/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt,supervised
0.8833,0.9021,0.03128063678741455,38,./save/supervised_learning/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt,supervised
0.8781,0.8999,0.02259209379553795,50,./save/supervised_learning/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt,supervised
0.7629,0.8364,0.020682070404291153,43,./save/supervised_learning/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt,supervised
0.9987,0.9989,0.103756844997406,21,./save/supervised_learning/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt,supervised
